date,GDP
1975-03-31,194657
1975-06-30,191458
1975-09-30,190828
1975-12-31,193007
1976-03-31,196078
1976-06-30,195737
1976-09-30,198180
1976-12-31,202361
1977-03-31,202475
1977-06-30,200982
1977-09-30,202386
1977-12-31,205871
1978-03-31,207654
1978-06-30,210180
1978-09-30,213020
1978-12-31,214967
1979-03-31,214129
1979-06-30,223624
1979-09-30,218709
1979-12-31,221005
1980-03-31,218845
1980-06-30,214529
1980-09-30,214280
1980-12-31,212020
1981-03-31,211669
1981-06-30,212172
1981-09-30,214478
1981-12-31,214727
1982-03-31,215081
1982-06-30,217489
1982-09-30,218046
1982-12-31,219581
1983-03-31,223565
1983-06-30,225476
1983-09-30,227962
1983-12-31,229933
1984-03-31,231514
1984-06-30,229498
1984-09-30,230991
1984-12-31,235577
1985-03-31,237562
1985-06-30,242628
1985-09-30,242856
1985-12-31,243449
1986-03-31,246180
1986-06-30,247976
1986-09-30,249074
1986-12-31,253461
1987-03-31,255733
1987-06-30,259432
1987-09-30,265702
1987-12-31,268714
1988-03-31,273543
1988-06-30,275178
1988-09-30,279388
1988-12-31,281798
1989-03-31,283023
1989-06-30,284866
1989-09-30,285139
1989-12-31,285397
1990-03-31,287318
1990-06-30,288796
1990-09-30,285798
1990-12-31,284844
1991-03-31,284042
1991-06-30,283698
1991-09-30,283051
1991-12-31,283505
1992-03-31,283489
1992-06-30,283140
1992-09-30,284952
1992-12-31,286957
1993-03-31,289057
1993-06-30,290527
1993-09-30,292864
1993-12-31,294860
1994-03-31,298406
1994-06-30,301869
1994-09-30,305295
1994-12-31,307030
1995-03-31,308059
1995-06-30,309171
1995-09-30,312212
1995-12-31,313106
1996-03-31,315951
1996-06-30,316947
1996-09-30,319095
1996-12-31,322100
1997-03-31,326757
1997-06-30,330259
1997-09-30,332227
1997-12-31,336300
1998-03-31,338161
1998-06-30,340143
1998-09-30,342631
1998-12-31,346201
1999-03-31,348284
1999-06-30,348526
1999-09-30,354641
1999-12-31,359661
2000-03-31,363014
2000-06-30,365623
2000-09-30,366706
2000-12-31,367475
2001-03-31,371191
2001-06-30,374262
2001-09-30,376671
2001-12-31,377910
2002-03-31,379733
2002-06-30,382456
2002-09-30,385535
2002-12-31,389179
2003-03-31,391597
2003-06-30,395145
2003-09-30,399086
2003-12-31,402191
2004-03-31,404275
2004-06-30,405981
2004-09-30,406917
2004-12-31,408394
2005-03-31,411853
2005-06-30,416359
2005-09-30,420756
2005-12-31,426928
2006-03-31,428052
2006-06-30,428919
2006-09-30,429259
2006-12-31,430825
2007-03-31,434711
2007-06-30,437823
2007-09-30,440722
2007-12-31,444265
2008-03-31,445474
2008-06-30,442462
2008-09-30,435378
2008-12-31,425902
2009-03-31,419095
2009-06-30,418151
2009-09-30,418800
2009-12-31,419917
2010-03-31,422176
2010-06-30,425975
2010-09-30,427952
2010-12-31,428261
2011-03-31,430775
2011-06-30,431413
2011-09-30,433055
2011-12-31,433878
2012-03-31,436683
2012-06-30,436217
2012-09-30,441238
2012-12-31,440598
2013-03-31,443411
2013-06-30,445808
2013-09-30,449599
2013-12-31,451932
2014-03-31,455814
2014-06-30,459702
2014-09-30,463201
2014-12-31,466727
2015-03-31,468326
2015-06-30,471018
2015-09-30,472980
2015-12-31,476413
2016-03-31,477421
2016-06-30,479693
2016-09-30,482288
2016-12-31,485897
2017-03-31,487333
2017-06-30,488817
2017-09-30,490704
